,total_points,goals_scoredALL,assistsALL,total_pointsALL,minutesALL,goals_concededALL,creativityALL,influenceALL,threatALL,bonusALL,bpsALL,ict_indexALL,clean_sheetsALL,red_cardsALL,yellow_cardsALL,now_costALL,GW,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence,AV_assists_past5,AV_bonus_past5,AV_bps_past5,AV_clean_sheets_past5,AV_creativity_past5,AV_goals_conceded_past5,AV_goals_scored_past5,AV_ict_index_past5,AV_influence_past5,AV_minutes_past5,AV_threat_past5,AV_total_points_past5,AV_value_past5,team_strength_rank,opponent_strength_rank
33441,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,27,1100,1120,1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,5,16
33442,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,25,1100,1105,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,5,14
33443,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,14,1355,1350,1360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,1
33444,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,8,1055,1020,1090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,18
33503,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,40,27,1365,1370,1360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20,2
33504,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,40,28,1100,1055,1145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20,12
33505,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,40,26,1100,1085,1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20,14
33688,1,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,18,1190,1150,1230,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.2,2.0,20.0,0.0,1.0,45.0,14,8
33689,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,6,1055,1020,1090,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.1,1.0,10.0,0.0,0.5,45.0,14,18
33690,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,15,1050,1050,1050,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.07,0.67,6.67,0.0,0.33,45.0,14,19
